gtype,meta_id,map_id,vision_poi_id,vision_size,vision_rotation,xpos,ypos,xcoord,ycoord,lng,lat,note,regist_date,regist_id
visionPoi,58ce39a1570546a0a61dc20bccbbcdd7,5544cb62bf6b4f9b9504fe1aacffa3fc,401,0.2111,270,127.2031884,37.37823871,14160194.16,4491960.342,,,,2025-03-16T07:46:56.765Z,ethan.dev@watanow.com
visionPoi,58ce39a1570546a0a61dc20bccbbcdd7,5544cb62bf6b4f9b9504fe1aacffa3fc,112,0.0556,270,127.2031515,37.37816826,14160190.05,4491950.472,,,,2025-03-16T07:11:00.056Z,ethan.dev@watanow.com
visionPoi,58ce39a1570546a0a61dc20bccbbcdd7,5544cb62bf6b4f9b9504fe1aacffa3fc,110,0.0556,90,127.2031389,37.37814471,14160188.65,4491947.174,,,,2025-03-16T07:10:29.463Z,ethan.dev@watanow.com
visionPoi,58ce39a1570546a0a61dc20bccbbcdd7,5544cb62bf6b4f9b9504fe1aacffa3fc,111,0.0556,90,127.2031654,37.37814481,14160191.6,4491947.187,,,,2025-03-16T07:09:46.643Z,ethan.dev@watanow.com
visionPoi,58ce39a1570546a0a61dc20bccbbcdd7,5544cb62bf6b4f9b9504fe1aacffa3fc,121,0.88,0,127.2030512,37.37819186,14160178.89,4491953.779,,,,2025-03-16T07:08:11.528Z,ethan.dev@watanow.com
visionPoi,58ce39a1570546a0a61dc20bccbbcdd7,5544cb62bf6b4f9b9504fe1aacffa3fc,99,0.32,270,127.2032624,37.37823802,14160202.4,4491960.246,,,,2025-03-12T04:39:27.057Z,ethan.dev@watanow.com
visionPoi,58ce39a1570546a0a61dc20bccbbcdd7,5544cb62bf6b4f9b9504fe1aacffa3fc,129,0.08,90,127.2032233,37.37818681,14160198.05,4491953.072,,,,2025-03-12T04:33:54.199Z,ethan.dev@watanow.com
visionPoi,58ce39a1570546a0a61dc20bccbbcdd7,5544cb62bf6b4f9b9504fe1aacffa3fc,2025,0.0611,90,127.2032456,37.37818701,14160200.53,4491953.099,,,,2025-03-18T05:11:55.662Z,ethan.dev@watanow.com
visionPoi,58ce39a1570546a0a61dc20bccbbcdd7,5544cb62bf6b4f9b9504fe1aacffa3fc,2022,0.0611,90,127.2032717,37.37818701,14160203.43,4491953.099,,,,2025-03-18T05:11:35.160Z,ethan.dev@watanow.com
visionPoi,58ce39a1570546a0a61dc20bccbbcdd7,5544cb62bf6b4f9b9504fe1aacffa3fc,2019,0.0611,90,127.2032974,37.37818714,14160206.29,4491953.117,,,,2025-03-18T05:11:22.066Z,ethan.dev@watanow.com
visionPoi,58ce39a1570546a0a61dc20bccbbcdd7,5544cb62bf6b4f9b9504fe1aacffa3fc,2112,0.5333,180,127.203332,37.37819396,14160210.15,4491954.073,,,,2025-03-18T05:08:02.326Z,ethan.dev@watanow.com
